Ensino Fundamental Regular - Anos Finais;;;;;;;;;;;;;;;;;;;;;;;
Indicadores educacionais compostos por: Taxa de Aprovação, SAEB e IDEB nos anos de 2005, 2007, 2009, 2011, 2013, 2015, 2017, 2019, 20211 e 2023 e Metas do 1º ciclo do Ideb2,3 (2007-2021). Os dados estão dimensionados por escola e organizados por rede de ensino.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Sigla da UF;Código do Município;Nome do Município;Código da Escola;Nome da Escola;Rede;"IDEB
2005
(N x P)";"IDEB
2007
(N x P)";"IDEB
2009
(N x P)";"IDEB
2011
(N x P)";"IDEB
2013
(N x P)";"IDEB
2015
(N x P)";"IDEB
2017
(N x P)";"IDEB
2019
(N x P)";"IDEB
20211
(N x P)";"IDEB
2023
(N x P)";Metas do 1º ciclo do Ideb2,3 (2007-2021);;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;2007;2009;2011;2013;2015;2017;2019;2021
SG_UF;CO_MUNICIPIO;NO_MUNICIPIO;ID_ESCOLA;NO_ESCOLA;REDE;VL_OBSERVADO_2005;VL_OBSERVADO_2007;VL_OBSERVADO_2009;VL_OBSERVADO_2011;VL_OBSERVADO_2013;VL_OBSERVADO_2015;VL_OBSERVADO_2017;VL_OBSERVADO_2019;VL_OBSERVADO_2021;VL_OBSERVADO_2023;VL_PROJECAO_2007;VL_PROJECAO_2009;VL_PROJECAO_2011;VL_PROJECAO_2013;VL_PROJECAO_2015;VL_PROJECAO_2017;VL_PROJECAO_2019;VL_PROJECAO_2021
GO;5200050;Abadia de Goiás;52040127;COLEGIO ESTADUAL MANOEL LIBANIO DA SILVA;Estadual;3,4;2,9;3,7;4;4;3,9;4,3;4,7;4,2;5,2;3,5;3,6;3,9;4,3;4,7;4,9;5,2;5,4
GO;5200050;Abadia de Goiás;52074820;ESCOLA MUNICIPAL PAULINO INACIO ROSA;Municipal;2,3;3,9;4,1;3,9;4,5;4,6;4,8;4,8;-;5,3;2,4;2,7;3,2;3,8;4,3;4,5;4,8;5,1
GO;5200100;Abadiânia;52043223;COLEGIO ESTADUAL OSORIO RODRIGUES CAMARGO;Estadual;3,2;3,5;3,7;3,6;4,9;4,9;5,2;4,9;4,8;5,3;3,2;3,4;3,6;4;4,4;4,7;4,9;5,2
GO;5200100;Abadiânia;52043487;ESCOLA ESTADUAL ANDRE GAUDIE FLEURY CURADO;Estadual;-;-;-;-;-;-;4,8;3,9;5,2;4,8;-;-;-;-;-;-;5,1;5,3
GO;5200134;Acreúna;52055906;CENTRO DE ENSINO EM PERIODO INTEGRAL DOMINGOS ALVES PEREIRA;Estadual;3,4;3,9;3,1;4;3,8;4,7;5,6;5,3;-;5,9;3,4;3,6;3,9;4,3;4,6;4,9;5,2;5,4
GO;5200134;Acreúna;52055922;COLEGIO ESTADUAL ANA NASTRE DE MELO;Estadual;3,4;3,9;4,1;4,5;5,7;5,7;6,7;6,3;5,3;5,7;3,5;3,6;3,9;4,3;4,7;4,9;5,2;5,5
GO;5200134;Acreúna;52055930;COLEGIO ESTADUAL ARY RIBEIRO VALADAO FILHO;Estadual;3,4;3,7;3,4;3,4;4,7;4,8;5,1;5,1;4,7;5,9;3,4;3,6;3,8;4,2;4,6;4,9;5,1;5,4
